Date,Gas_Price,Wheat_Output
2021-01-01,2.71,772
2021-02-01,5.35,773
2021-03-01,2.62,773
2021-04-01,2.66,774
2021-05-01,2.91,788
2021-06-01,3.26,789
2021-07-01,3.84,792
2021-08-01,4.07,776
2021-09-01,5.16,780
2021-10-01,5.51,776
2021-11-01,5.05,775
2021-12-01,3.76,777
2022-01-01,4.38,778
2022-02-01,4.69,776
2022-03-01,4.9,778
2022-04-01,6.6,779
2022-05-01,8.14,774
2022-06-01,7.7,773
2022-07-01,7.28,771
2022-08-01,8.81,779
2022-09-01,7.88,783
2022-10-01,5.66,781
2022-11-01,5.45,782
2022-12-01,5.53,780
2023-01-01,3.27,781
2023-02-01,2.38,783
2023-03-01,2.31,788
2023-04-01,2.16,789
2023-05-01,2.15,789
2023-06-01,2.18,800
2023-07-01,2.55,796
2023-08-01,2.58,793
2023-09-01,2.64,787
2023-10-01,2.98,783
2023-11-01,2.71,782
2023-12-01,2.52,782
2024-01-01,3.18,789
2024-02-01,1.72,788
2024-03-01,1.49,786
2024-04-01,1.6,787
2024-05-01,2.12,797
2024-06-01,2.54,795
2024-07-01,2.07,798
2024-08-01,1.99,798
2024-09-01,2.28,796
2024-10-01,2.2,794
2024-11-01,2.12,794
2024-12-01,3.01,794
2025-01-01,4.13,795
2025-02-01,4.19,796
2025-03-01,4.12,797
2025-04-01,3.42,798
2025-05-01,3.12,840
2025-06-01,3.02,842
2025-07-01,3.2,841
2025-08-01,2.91,842
2025-09-01,2.97,842
2025-10-01,3.19,843
2025-11-01,3.79,841
2025-12-01,4.26,842
2026-01-01,7.72,838
2026-02-01,3.62,838
2026-03-01,3.04,839
2026-04-01,2.77,841
2026-05-01,2.94,819
2026-06-01,3.14,819
